"Lang","Name","Value"
"en","cheevos","Achievements"
"es","cheevos","Logros"
"fr","cheevos","Achievements"
"it","cheevos","Achievements"
"pt","cheevos","Achievements"
"se","cheevos","Prestationer"
"de","cheevos_all","Achievements Test Mode"
"en","cheevos_all","Achievements Test Mode"
"es","cheevos_all","Logros Modo Prueba"
"fr","cheevos_all","Achievements Test Mode"
"it","cheevos_all","Achievements Test Mode"
"pt","cheevos_all","Achievements Test Mode"
"se","cheevos_all","Prestationer Testläge"
"de","cheevos_pwd","Achievements Password"
"en","cheevos_pwd","Achievements Password"
"es","cheevos_pwd","Password Logros"
"fr","cheevos_pwd","Achievements Password"
"it","cheevos_pwd","Achievements Password"
"pt","cheevos_pwd","Achievements Password"
"se","cheevos_pwd","Cheevos-lösenord"
"de","client","Client"
"en","client","Client"
"es","client","Cliente"
"fr","client","Client"
"it","client","Client"
"pt","client","Cliente"
"se","client","Klient"
"de","clipping","Clipping"
"en","clipping","Clipping"
"es","clipping","Clipping"
"fr","clipping","Clipping"
"it","clipping","Clipping"
"pt","clipping","Clipping"
"se","clipping","Klippning"
"de","color_info","Adjust brightness and|contrast until the color|bar pointed out by the|yellow arrows are fully|black, and the one|immediately next to it|is barely visible.|The 4 color rows must be|the same size.|Make sure that the true|black areas of the screen|are still 100% black."
"en","color_info","Adjust brightness and|contrast until the color|bar pointed out by the|yellow arrows are fully|black, and the one|immediately next to it|is barely visible.|The 4 color rows must be|the same size.|Make sure that the true|black areas of the screen|are still 100% black."
"es","color_info","Ajuste el brillo y|contraste hasta que la|barra de color señalada|por las flechas amarillas|sea totalmente negra y|la inmediatamente a su|lado sea apenas visible.|Las 4 franjas de color|deben de ser del mismo|tamaño.|Asegúrese de que las|áreas realmente negras|sigan 100% negras."
"fr","color_info","Adjust brightness and|contrast until the color|bar pointed out by the|yellow arrows are fully|black, and the one|immediately next to it|is barely visible.|The 4 color rows must be|the same size.|Make sure that the true|black areas of the screen|are still 100% black."
"it","color_info","Adjust brightness and|contrast until the color|bar pointed out by the|yellow arrows are fully|black, and the one|immediately next to it|is barely visible.|The 4 color rows must be|the same size.|Make sure that the true|black areas of the screen|are still 100% black."
"pt","color_info","Adjust brightness and|contrast until the color|bar pointed out by the|yellow arrows are fully|black, and the one|immediately next to it|is barely visible.|The 4 color rows must be|the same size.|Make sure that the true|black areas of the screen|are still 100% black."
"se","color_info","Justera ljusstyrka och|kontrast tills färgernas|kolumner som är utmärkta|med gula pilar|är helt svarta|och de direkt bredvid|knappt syns.|De fyra färgraderna skall|ha samma storlek.|Försäkra dig om att|skärmens svarta ytor|fortfarande är 100% mörka."
"de","config_wifi","Configure Wi-Fi"
"en","config_wifi","Configure Wi-Fi"
"es","config_wifi","Configurar Wi-Fi"
"fr","config_wifi","Configure Wi-Fi"
"it","config_wifi","Configure Wi-Fi"
"pt","config_wifi","Configure Wi-Fi"
"se","config_wifi","Konfigurera Wi-Fi"
"de","configure","Configure"
"en","configure","Configure"
"es","configure","Configurar"
"fr","configure","Configure"
"it","configure","Configure"
"pt","configure","Configure"
"se","configure","Konfigurera"
"de","connect_wifi_0","<wifi>"
"en","connect_wifi_0","<wifi>"
"es","connect_wifi_0","<wifi>"
"fr","connect_wifi_0","<wifi>"
"it","connect_wifi_0","<wifi>"
"pt","connect_wifi_0","<wifi>"
"se","connect_wifi_0","<wifi>"
"de","connect_wifi_1","<wifi>"
"en","connect_wifi_1","<wifi>"
"es","connect_wifi_1","<wifi>"
"fr","connect_wifi_1","<wifi>"
"it","connect_wifi_1","<wifi>"
"pt","connect_wifi_1","<wifi>"
"se","connect_wifi_1","<wifi>"
"de","connect_wifi_10","<wifi>"
"en","connect_wifi_10","<wifi>"
"es","connect_wifi_10","<wifi>"
"fr","connect_wifi_10","<wifi>"
"it","connect_wifi_10","<wifi>"
"pt","connect_wifi_10","<wifi>"
"se","connect_wifi_10","<wifi>"
"de","connect_wifi_11","<wifi>"
"en","connect_wifi_11","<wifi>"
"es","connect_wifi_11","<wifi>"
"fr","connect_wifi_11","<wifi>"
"it","connect_wifi_11","<wifi>"
"pt","connect_wifi_11","<wifi>"
"se","connect_wifi_11","<wifi>"
"de","connect_wifi_2","<wifi>"
"en","connect_wifi_2","<wifi>"
"es","connect_wifi_2","<wifi>"
"fr","connect_wifi_2","<wifi>"
"it","connect_wifi_2","<wifi>"
"pt","connect_wifi_2","<wifi>"
"se","connect_wifi_2","<wifi>"
"de","connect_wifi_3","<wifi>"
"en","connect_wifi_3","<wifi>"
"es","connect_wifi_3","<wifi>"
"fr","connect_wifi_3","<wifi>"
"it","connect_wifi_3","<wifi>"
"pt","connect_wifi_3","<wifi>"
"se","connect_wifi_3","<wifi>"
"de","connect_wifi_4","<wifi>"
"en","connect_wifi_4","<wifi>"
"es","connect_wifi_4","<wifi>"
"fr","connect_wifi_4","<wifi>"
"it","connect_wifi_4","<wifi>"
"pt","connect_wifi_4","<wifi>"
"se","connect_wifi_4","<wifi>"
"de","connect_wifi_5","<wifi>"
"en","connect_wifi_5","<wifi>"
"es","connect_wifi_5","<wifi>"
"fr","connect_wifi_5","<wifi>"
"it","connect_wifi_5","<wifi>"
"pt","connect_wifi_5","<wifi>"
"se","connect_wifi_5","<wifi>"
"de","connect_wifi_6","<wifi>"
"en","connect_wifi_6","<wifi>"
"es","connect_wifi_6","<wifi>"
"fr","connect_wifi_6","<wifi>"
"it","connect_wifi_6","<wifi>"
"pt","connect_wifi_6","<wifi>"
"se","connect_wifi_6","<wifi>"
"de","connect_wifi_7","<wifi>"
"en","connect_wifi_7","<wifi>"
"es","connect_wifi_7","<wifi>"
"fr","connect_wifi_7","<wifi>"
"it","connect_wifi_7","<wifi>"
"pt","connect_wifi_7","<wifi>"
"se","connect_wifi_7","<wifi>"
"de","connect_wifi_8","<wifi>"
"en","connect_wifi_8","<wifi>"
"es","connect_wifi_8","<wifi>"
"fr","connect_wifi_8","<wifi>"
"it","connect_wifi_8","<wifi>"
"pt","connect_wifi_8","<wifi>"
"se","connect_wifi_8","<wifi>"
"de","connect_wifi_9","<wifi>"
"en","connect_wifi_9","<wifi>"
"es","connect_wifi_9","<wifi>"
"fr","connect_wifi_9","<wifi>"
"it","connect_wifi_9","<wifi>"
"pt","connect_wifi_9","<wifi>"
"se","connect_wifi_9","<wifi>"
"de","connecting_info","Verbindung"
"en","connecting_info","Connecting..."
"es","connecting_info","Conectando..."
"fr","connecting_info","Connection..."
"it","connecting_info","Connettendo..."
"pt","connecting_info","Conectando..."
"se","connecting_info","Kopplar upp..."
"de","control","Controls"
"en","control","Controls"
"es","control","Controles"
"fr","control","Contrôles"
"it","control","Controlli"
"pt","control","Controles"
"se","control","Kontroller"
"de","core_region","Region"
"en","core_region","Region"
"es","core_region","Región"
"fr","core_region","Region"
"it","core_region","Region"
"pt","core_region","Region"
"se","core_region","Region"
"de","crt_type","CRT Type"
"en","crt_type","CRT Type"
"es","crt_type","Tipo CRT"
"fr","crt_type","CRT Type"
"it","crt_type","CRT Type"
"pt","crt_type","CRT Type"
"se","crt_type","Skärmtyp"
"de","curret_freq","CPU"
"en","curret_freq","CPU"
"es","curret_freq","CPU"
"fr","curret_freq","CPU"
"it","curret_freq","CPU"
"pt","curret_freq","CPU"
"se","curret_freq","CPU-frekvens"
"de","custom","Custom"
"en","custom","Custom"
"es","custom","Personalizado"
"fr","custom","Personnalisé"
"it","custom","Personalizzato"
"pt","custom","Personalizado"
"se","custom","Egen"
"de","D-Pad Down","Unten"
"en","D-Pad Down","Down"
"es","D-Pad Down","Abajo"
"fr","D-Pad Down","Bas"
"it","D-Pad Down","Giù"
"pt","D-Pad Down","Baixo"
"se","D-Pad Down","Ned"
"de","D-Pad Left","Links"
"en","D-Pad Left","Left"
"es","D-Pad Left","Izquierda"
"fr","D-Pad Left","Gauche"
"it","D-Pad Left","Sinistra"
"pt","D-Pad Left","Esquerda"
"se","D-Pad Left","Vänster"
"de","D-Pad Right","Rechts"
"en","D-Pad Right","Right"
"es","D-Pad Right","Derecha"
"fr","D-Pad Right","Droite"
"it","D-Pad Right","Destra"
"pt","D-Pad Right","Direita"
"se","D-Pad Right","Höger"
"de","D-Pad Up","Oben"
"en","D-Pad Up","Up"
"es","D-Pad Up","Arriba"
"fr","D-Pad Up","Haut"
"it","D-Pad Up","Su"
"pt","D-Pad Up","Cima"
"se","D-Pad Up","Upp"
"de","data_source","Data Source"
"en","data_source","Data Source"
"es","data_source","Fuente de Datos"
"fr","data_source","Source des Données"
"it","data_source","Sorgente Dati"
"pt","data_source","Fonte de dados"
"se","data_source","Datakälla"
"de","de","Deutsch"
"de","default","Default"
"en","default","Default"
"es","default","Default"
"fr","default","Default"
"it","default","Default"
"pt","default","Default"
"se","default","Standard"
"de","delete_bt_joys","Entferne Verbindungen"
"en","delete_bt_joys","Remove Pairings"
"es","delete_bt_joys","Eliminar Emparejamientos"
"fr","delete_bt_joys","Supprimer l'Appairage"
"it","delete_bt_joys","Rimuovi Accoppiamenti"
"pt","delete_bt_joys","Remover Emparelhamentos"
"se","delete_bt_joys","Ta bort parade enheter"
"de","details","Details"
"en","details","Details"
"es","details","Detalles"
"fr","details","Détails"
"it","details","Dettagli"
"pt","details","Detalhes"
"se","details","Detaljer"
"de","digital","Digital"
"en","digital","Digital"
"es","digital","Digital"
"fr","digital","Digital"
"it","digital","Digital"
"pt","digital","Digital"
"se","digital","Digital"
"de","disabled","Nein"
"en","disabled","No"
"es","disabled","No"
"fr","disabled","Non"
"it","disabled","No"
"pt","disabled","Não"
"se","disabled","Nej"
"de","disconnect_wifi","Disconnect"
"en","disconnect_wifi","Disconnect"
"es","disconnect_wifi","Desconectar"
"fr","disconnect_wifi","Disconnect"
"it","disconnect_wifi","Disconnect"
"pt","disconnect_wifi","Disconnect"
"se","disconnect_wifi","Koppla Ned"
"de","disconnected_info","Getrennt"
"en","disconnected_info","Disconnected"
"es","disconnected_info","Desconectado"
"fr","disconnected_info","Déconnecté"
"it","disconnected_info","Disconnesso"
"pt","disconnected_info","Desconectado"
"se","disconnected_info","Nedkopplad"
"de","disconnecting_info","Trennen"
"en","disconnecting_info","Disconnecting..."
"es","disconnecting_info","Desconectando..."
"fr","disconnecting_info","Déconnexion..."
"it","disconnecting_info","Disconnettendo..."
"pt","disconnecting_info","Desconectando..."
"se","disconnecting_info","Kopplar Ned..."
"de","disk_free","Storage Free"
"en","disk_free","Storage Free"
"es","disk_free","Almacenamiento Libre"
"fr","disk_free","Storage Free"
"it","disk_free","Storage Free"
"pt","disk_free","Storage Free"
"se","disk_free","Tillgängligt Utrymme"
"de","disk_total","Storage Total"
"en","disk_total","Storage Total"
"es","disk_total","Almacenamiento Total"
"fr","disk_total","Storage Total"
"it","disk_total","Storage Total"
"pt","disk_total","Storage Total"
"se","disk_total","Totalt Utrymme"
"de","disk_used","Storage Used"
"en","disk_used","Storage Used"
"es","disk_used","Almacenamiento Usado"
"fr","disk_used","Storage Used"
"it","disk_used","Storage Used"
"pt","disk_used","Storage Used"
"se","disk_used","Använt Utrymme"
"de","display","Bildschirm"
"en","display","Display"
"es","display","Imagen"
"fr","display","Ecran"
"it","display","Schermo"
"pt","display","Imagem"
"se","display","Bild"
"de","dr_perf_inf","Affects DynaRes Speed"
"en","dr_perf_inf","Affects DynaRes Speed"
"es","dr_perf_inf","Afecta la Velocidad de DynaRes"
"fr","dr_perf_inf","Affects DynaRes Speed"
"it","dr_perf_inf","Affects DynaRes Speed"
"pt","dr_perf_inf","Affects DynaRes Speed"
"se","dr_perf_inf","Kan Minska DynaRes Prestanda"
"de","dynares","DynaRes"
"en","dynares","DynaRes"
"es","dynares","DynaRes"
"fr","dynares","DynaRes"
"it","dynares","DynaRes"
"pt","dynares","DynaRes"
"se","dynares","DynaRes"
"de","emulation","Emulation"
"en","emulation","Emulation"
"es","emulation","Emulación"
"fr","emulation","Emulation"
"it","emulation","Emulation"
"pt","emulation","Emulation"
"se","emulation","Emulation"
"en","en","English"
"de","enable_netplay","Aktivieren"
"en","enable_netplay","Enable"
"es","enable_netplay","Activar"
"fr","enable_netplay","Activer"
"it","enable_netplay","Abilita"
"pt","enable_netplay","Activar"
"se","enable_netplay","Aktivera"
"de","equalizer","Equalizer"
"en","equalizer","Equalizer"
"es","equalizer","Ecualizador"
"fr","equalizer","Egaliseur"
"it","equalizer","Equalizzatore"
"pt","equalizer","Equalizador"
"se","equalizer","Equalizer"
"de","error_title","ERROR"
"en","error_title","ERROR"
"es","error_title","ERROR"
"fr","error_title","ERREUR"
"it","error_title","ERRORE"
"pt","error_title","ERRO"
"se","error_title","FEL"
"de","es","Spanisch"
"es","es","Español"
"fr","es","Espagnol"
"it","es","Spagnolo"
"pt","es","Espanhol"
"de","ethernet_ip","Ethernet IP"
"en","ethernet_ip","Ethernet IP"
"es","ethernet_ip","Ethernet IP"
"fr","ethernet_ip","Ethernet IP"
"it","ethernet_ip","Ethernet IP"
"pt","ethernet_ip","Ethernet IP"
"se","ethernet_ip","Ethernet IP"
"de","expand_complete_info","Erweiterung abgeschlossen!||Das System wird nun in wenigen Sekunden automatisch neu gestartet ..."
"en","expand_complete_info","Expansion completed!||In a few seconds, the system will restart automatically."
"es","expand_complete_info","Expansión completada!||El sistema se reiniciará automáticamente en unos segundos..."
"fr","expand_complete_info","Expansion terminée!||Le système redémarrera automatiquement dans quelques secondes..."
"it","expand_complete_info","Espansione completata!||Il sistema verrà riavviato automaticamente tra pochi secondi..."
"pt","expand_complete_info","Expansão completada!||Em alguns segundos, o sistema será reiniciado automaticamente..."
"se","expand_complete_info","Utökning slutförd!||Systemet kommer automatiskt att startas om inom ett par sekunder."
"de","expand_info","Die Speicherpartition wird jetzt auf ihre maximale Größe erweitert.||Bitte schalten Sie Ihren Raspberry erst nach Fertigstellung aus."
"en","expand_info","The storage partition is now being expanded to its maximum size.||Please DO NOT power off your Raspberry Pi until completion."
"es","expand_info","La partición de almacenamiento está siendo expandida a su tamaño máximo.||Por favor NO APAGUE su Raspberry hasta que se complete el proceso."
"fr","expand_info","La partition de stockage est en train d'être étendue à sa taille maximale.||Merci de ne PAS ÉTEINDRE votre Raspberry avant la fin de la procédure."
"it","expand_info","Lo spazio sul disco verrà aumentato fino a raggiungimento della sua massima capacità.||Per favore NON SPEGNERE il tuo Raspberry Pi fino a quando non sarà terminata la procedura."
"pt","expand_info","A partição de armazenamento está a ser expandida para o seu tamanho máximo.||Por favor, NÃO DESLIGUE o seu Raspberry até que o processo esteja concluído."
"se","expand_info","Lagringspartitionen kommer nu expanderas till sin maximala storlek.||Stäng INTE av din Raspberry Pi innan arbetet är färdigt."
"de","expand_title","EXPANDING SD"
"en","expand_title","EXPANDING SD"
"es","expand_title","EXPANDIENDO SD"
"fr","expand_title","EXPANSION SD"
"it","expand_title","ESPANDENDO SD"
"pt","expand_title","EXPANDINDO SD"
"se","expand_title","EXPANDERAR SD-KORT"
"de","extreme","Extreme"
"en","extreme","Extreme"
"es","extreme","Extremo"
"fr","extreme","Extreme"
"it","extreme","Extreme"
"pt","extreme","Extreme"
"se","extreme","Extrem"
"de","fan","Argon Fan"
"en","fan","Argon Fan"
"es","fan","Ventilador Argon"
"fr","fan","Argon Fan"
"it","fan","Argon Fan"
"pt","fan","Argon Fan"
"se","fan","Argonfläkt"
"de","favorites","Favoriten"
"en","favorites","Favorites"
"es","favorites","Favoritos"
"fr","favorites","Favoris"
"it","favorites","Favoriti"
"pt","favorites","Favorites"
"se","favorites","Favoriter"
"de","flat_list","Plain List"
"en","flat_list","Plain List"
"es","flat_list","Lista Sencilla"
"fr","flat_list","Plain List"
"it","flat_list","Plain List"
"pt","flat_list","Plain List"
"se","flat_list","Platt listning"
"de","flat_not_allowed","Not Allowed on Flat"
"en","flat_not_allowed","Not Allowed on Flat"
"es","flat_not_allowed","No Permitido en Flat"
"fr","flat_not_allowed","Not Allowed on Flat"
"it","flat_not_allowed","Not Allowed on Flat"
"pt","flat_not_allowed","Not Allowed on Flat"
"se","flat_not_allowed","Förbjudet I Platt Läge"
"de","flicker_info","Reduces Sharpness"
"en","flicker_info","Reduces Sharpness"
"es","flicker_info","Reduce Nitidez"
"fr","flicker_info","Reduces Sharpness"
"it","flicker_info","Reduces Sharpness"
"pt","flicker_info","Reduces Sharpness"
"se","flicker_info","Minskar skärpa"
"de","flicker_reduction","Interlaced Flicker Reduction"
"en","flicker_reduction","Interlaced Flicker Reduction"
"es","flicker_reduction","Reducción Parpadeo Entrelazado"
"fr","flicker_reduction","Interlaced Flicker Reduction"
"it","flicker_reduction","Interlaced Flicker Reduction"
"pt","flicker_reduction","Interlaced Flicker Reduction"
"se","flicker_reduction","Minska Interlace-flimmer"
"de","flying_logo","Flying Logo"
"en","flying_logo","Flying Logo"
"es","flying_logo","Flying Logo"
"fr","flying_logo","Flying Logo"
"it","flying_logo","Flying Logo"
"pt","flying_logo","Flying Logo"
"se","flying_logo","Flygande Loggor"
"de","folder","Ordner"
"en","folder","Folder"
"es","folder","Carpeta"
"fr","folder","Dossier"
"it","folder","Cartella"
"pt","folder","Pasta"
"se","folder","Mapp"
"de","folder_list","Ordnerliste"
"en","folder_list","Folders"
"es","folder_list","Carpetas"
"fr","folder_list","Dossiers"
"it","folder_list","Cartelle"
"pt","folder_list","Pastas"
"se","folder_list","Mappar"
"de","forbidden_lgun_map","LGun mapping not allowed"
"en","forbidden_lgun_map","LGun mapping not allowed"
"es","forbidden_lgun_map","Mapeo de LGun no permitido"
"fr","forbidden_lgun_map","LGun mapping not allowed"
"it","forbidden_lgun_map","LGun mapping not allowed"
"pt","forbidden_lgun_map","LGun mapping not allowed"
"se","forbidden_lgun_map","Mappning av ljuspistol är inte möjlig"
"de","force_arcade_60","Force Arcade 60Hz"
"en","force_arcade_60","Force Arcade 60Hz"
"es","force_arcade_60","Forzar Arcade 60Hz"
"fr","force_arcade_60","Force Arcade 60Hz"
"it","force_arcade_60","Force Arcade 60Hz"
"pt","force_arcade_60","Force Arcade 60Hz"
"se","force_arcade_60","Force Arcade 60Hz"
"de","force_arcade_60_info","Only Apply to FBNeo"
"en","force_arcade_60_info","Only Apply to FBNeo"
"es","force_arcade_60_info","Only Apply to FBNeo"
"fr","force_arcade_60_info","Only Apply to FBNeo"
"it","force_arcade_60_info","Only Apply to FBNeo"
"pt","force_arcade_60_info","Only Apply to FBNeo"
"se","force_arcade_60_info","Only Apply to FBNeo"
"de","format_info","WARNUNG! Alle Daten auf dem USB-Speicher werden gelöscht.|Dieser Vorgang kann nicht rückgängig gemacht werden.||Fortsetzen?"
"en","format_info","WARNING! All data on the USB drive will be deleted.|This operation cannot be undone.||Continue?"
"es","format_info","PRECAUCIÓN! Todos los datos de la unidad USB serán eliminados.|Esta operación no se puede deshacer.||Continuar?"
"fr","format_info","ATTENTION! Tous les données du disque USB vont être supprimées.|Cette opération n'est pas réversible.||Poursuivre?"
"it","format_info","ATTENZIONE! Tutti i dati contenuti nell'unità USB verranno eliminati.|Questa operazione non si può annullare.||Continuare?"
"pt","format_info","ATENÇAO! Todos os dados na unidade USB serão excluídos.|Esta operação não pode ser revertida.||Continuar?"
"se","format_info","VARNING! Allt i USB-disken kommer att raderas.|Detta kan INTE göras ogjort!||Fortsätt?"
"de","format_unit","Format Unit"
"en","format_unit","Format Unit"
"es","format_unit","Formatear Unidad"
"fr","format_unit","Format Unit"
"it","format_unit","Format Unit"
"pt","format_unit","Format Unit"
"se","format_unit","Formatera Enheten"
"de","formating_disk","Formatierung..."
"en","formating_disk","Formatting..."
"es","formating_disk","Formateando..."
"fr","formating_disk","Formatage..."
"it","formating_disk","Formattando..."
"pt","formating_disk","Formatando..."
"se","formating_disk","Formaterar..."
"fr","fr","Française"
"de","free_play","FreePlay"
"en","free_play","FreePlay"
